file_index,class
75921968,0
73412262,1
77866702,0
73120794,0
75903558,0
74749715,0
74762491,0
76528102,0
74196325,0
75740001,1
72228698,1
76938514,1
73912507,1
74933910,0
76395310,0
77648904,0
70176328,0
79615607,0
74406453,1
70485000,0
75556151,0
71339053,0
71838662,0
74379679,0
70293344,1
78183770,0
74222337,1
73657638,0
78934125,1
73777255,1
72594359,0
73758336,0
77419656,1
76621835,1
74801633,1
70554885,1
77147626,0
79868374,1
71284305,1
78786132,1
79128579,0
74212164,0
77952574,0
74339198,0
70540972,0
76339529,0
72901364,0
70572053,1
76704241,0
70796344,0
71201679,0
74788049,1
74223121,0
74970452,0
74585665,0
72858509,0
75209849,0
77880820,1
75560937,0
78323979,0
77456739,0
70252075,1
72858765,0
71949507,0
73454460,1
72461078,0
73798677,1
76903258,0
71355046,0
71589866,1
75119409,0
72622527,0
75729867,0
74978001,0
74534010,1
79764711,0
70103118,0
70593118,1
78964138,1
70038388,1
76874753,0
75194157,0
77121891,1
74772638,0
76073402,1
79790148,0
79361624,1
73937994,1
72011933,0
79458558,1
73958005,1
70601432,0
72467961,0
70340120,0
71241723,1
73331324,0
73891378,0
78474944,0
75196788,1
74208388,1
74143334,0
70865985,0
74385162,0
71989080,0
70333766,1
79873998,1
72403731,0
70288660,0
75877274,0
79859470,0
73502235,1
76383614,0
72068047,0
73093887,1
73997574,0
72911051,1
73749420,1
76570848,1
70542712,0
74322818,0
76862470,0
74230885,1
79059036,0
70261214,1
73063169,1
73493850,0
77389344,1
74148078,0
78767056,0
72991232,1
75568867,0
70159495,1
78538308,0
73931280,1
79364218,0
78438007,0
73573637,0
79358365,0
74818070,0
75566861,1
72874605,1
70756878,1
78942226,1
72207080,1
77788753,0
75590251,1
75356752,0
71229498,1
73136247,0
77077451,0
72913952,1
78012006,1
71895577,0
70893296,0
76954315,1
70594634,0
72803262,0
70457695,1
78938944,0
73983475,0
78710885,1
76167609,0
77066959,0
71783182,0
75506212,0
79422587,1
72721092,0
71160421,1
78092861,0
71188839,1
79046872,1
71846503,1
72365064,1
78202856,0
76513028,1
78029501,1
73873040,1
72739561,0
78565933,1
75644150,0
77397612,1
70123042,0
77371861,1
74680456,0
70662965,1
70409178,0
73793720,1
77466217,1
70554559,0
77951122,1
70318900,0
71041650,0
76304103,1
75478222,0
77772475,0
75962972,0
79657171,1
72110600,1
75204190,1
76781000,0
73410408,0
75633549,1
72427197,0
73812871,0
73353885,0
75628370,0
75230432,1
76269020,1
78377209,1
71779291,0
73543391,0
77457383,1
70913297,0
79881440,1
74587586,0
73736367,1
77406703,1
71540481,0
72383165,0
70763572,0
76426264,0
78052497,0
76347675,1
70213887,1
77226691,0
72839891,1
72135493,1
75644687,0
79794463,1
75057435,0
75593133,0
71743100,0
75931530,0
73360666,1
74745902,1
76416782,0
77844115,1
71759798,1
79416634,1
79424388,0
73703673,1
79638269,1
79355163,0
78434663,0
72121893,0
72207649,1
77505620,0
74526152,0
76326114,0
77556004,0
78904313,0
77522005,0
70342137,0
72433017,0
76447764,0
77385728,0
76541974,0
75668766,0
70762932,0
76696069,0
77140958,0
78157889,1
76346615,1
74102120,0
74662725,1
70897251,0
79114451,1
76772898,0
72974480,1
73573833,0
72061736,1
74046993,1
71064646,1
78837662,1
70930643,1
71073228,0
70068746,1
74501280,0
78758228,0
73878344,0
77592123,1
78013479,0
78823855,0
72204233,1
78798094,0
74140255,0
77128111,1
73004984,0
79358446,1
79797333,0
76019137,1
78672316,0
70007467,1
73885075,0
